,cluster,churn_proba,segment,strategy
66263,2,0.48349872,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59075,1,0.47071192,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69585,1,0.6059902,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55174,2,0.42365003,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55364,1,0.21549508,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54364,1,0.3085564,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63051,1,0.6093661,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68686,2,0.25701812,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70012,1,0.08403452,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69229,1,0.49905545,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69584,1,0.16904736,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59161,1,0.41040686,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63635,1,0.27779266,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67627,1,0.34949085,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60615,0,0.43412313,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
64493,2,0.44673416,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66013,2,0.5150161,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70764,1,0.15983891,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57680,1,0.12943108,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60441,2,0.33838618,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65414,2,0.8342007,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60597,2,0.5201874,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64567,2,0.5085762,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
30686,1,0.35735723,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61743,2,0.36343694,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60147,2,0.5716976,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61332,1,0.1747818,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56515,2,0.39509645,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59819,0,0.5108123,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
70584,1,0.13550667,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66732,2,0.39220187,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
53249,2,0.41034055,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64032,2,0.35626435,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62621,2,0.61378336,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63994,1,0.39625844,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63239,2,0.34356427,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66077,2,0.3207753,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52783,2,0.3212599,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52644,1,0.20117259,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52305,1,0.22663856,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66093,2,0.35252768,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
67834,2,0.5686534,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70132,1,0.45842764,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57355,2,0.27398518,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65401,2,0.30879676,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69636,2,0.42232215,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68078,2,0.5873463,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69472,2,0.13226347,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60057,1,0.49894652,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30970,1,0.3753037,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64798,1,0.6390493,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66258,1,0.37562585,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68922,1,0.23273864,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64332,1,0.62543654,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60553,1,0.2867392,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53957,2,0.34525648,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65946,2,0.38097942,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
30814,2,0.2292227,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63488,1,0.5572204,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56716,2,0.35876366,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
30738,1,0.62502277,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55735,1,0.4145732,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55680,1,0.2961066,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56599,2,0.39635277,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68126,2,0.08598149,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70336,2,0.23032717,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56888,1,0.3816146,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68062,1,0.3719551,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69855,1,0.24574494,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65589,2,0.4128251,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56469,1,0.24905616,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57899,1,0.36631986,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59961,2,0.76159346,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54481,1,0.094488926,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58579,1,0.56472623,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51893,1,0.18242198,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56264,2,0.29371047,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70216,2,0.35386002,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60801,2,0.4028667,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70557,1,0.15211268,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67420,0,0.6775661,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
68215,2,0.3377095,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61587,1,0.21175459,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61866,1,0.3781124,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55141,2,0.40457016,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68756,1,0.36741486,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54725,2,0.25211555,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63034,2,0.3201671,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62760,1,0.50401473,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51756,1,0.067458026,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68414,1,0.23887032,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61045,1,0.22411995,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56744,1,0.2999772,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53989,1,0.25172713,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69942,2,0.37205783,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55803,2,0.33543876,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60528,1,0.36075553,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64701,1,0.4034722,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66711,2,0.41965374,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
60098,1,0.3311643,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67002,1,0.22075649,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53589,1,0.40311095,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56892,1,0.34252986,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53653,2,0.43515593,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69635,2,0.08198262,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52652,1,0.42450845,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57098,1,0.38882962,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62237,1,0.329434,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67229,1,0.3512421,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65237,1,0.15850961,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63102,1,0.38042575,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53928,1,0.15513895,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30828,1,0.20780317,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56145,1,0.40677923,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
30994,2,0.51975036,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55386,2,0.52736604,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64822,1,0.30094054,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57209,2,0.45998254,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
30870,2,0.3449964,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
65943,2,0.47254908,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54594,2,0.56413513,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57776,1,0.59361833,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58125,1,0.66791415,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69634,1,0.16030224,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55518,1,0.38525972,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57558,1,0.45477998,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51321,1,0.32458025,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53476,0,0.43834642,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
30661,1,0.5615281,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61917,2,0.43066967,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66042,2,0.52165973,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61915,2,0.35354954,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56253,0,0.3386746,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
63313,2,0.3806565,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63779,1,0.2937699,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62204,0,0.3450405,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
66213,1,0.508421,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55845,0,0.5342685,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
58819,1,0.45954067,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
70603,2,0.17737289,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59962,1,0.2741564,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55119,1,0.26904052,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58119,2,0.39631912,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68467,1,0.23687774,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57453,2,0.32645234,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
58856,2,0.3257529,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59642,1,0.24390508,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65826,1,0.21628405,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
70821,1,0.12262148,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69732,2,0.33489767,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62536,1,0.26644352,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60115,2,0.270595,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
66146,1,0.3692981,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64283,1,0.24599135,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55268,1,0.42916876,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
57224,1,0.4153495,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60003,1,0.4037625,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52320,1,0.37019557,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53972,1,0.24210061,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56587,1,0.26489127,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66568,1,0.52308905,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53431,2,0.3465822,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
71004,1,0.12416038,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64037,1,0.21938604,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55070,1,0.31254414,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56865,1,0.29392076,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58806,2,0.3355353,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
64984,2,0.48038748,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52989,1,0.738962,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66965,2,0.36724067,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62718,2,0.46064177,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68549,2,0.53679883,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57444,1,0.3653601,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64739,1,0.36841166,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68372,2,0.48776904,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62913,1,0.43318588,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65560,2,0.8175723,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63349,2,0.5532011,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
30731,2,0.35270196,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68378,2,0.25467992,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54428,2,0.38300204,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70619,2,0.0952077,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
53065,2,0.5182181,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
57864,2,0.4294121,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
53857,1,0.15955755,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62886,1,0.46694037,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51498,1,0.18846443,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51798,2,0.3303604,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
62874,1,0.41000208,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60760,1,0.47066164,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
65875,1,0.2825308,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
67256,1,0.41101554,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58046,2,0.4102894,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63962,0,0.64263844,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
30541,1,0.3616963,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51513,2,0.19265714,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69325,1,0.49462882,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51262,1,0.2523565,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
52363,2,0.47995755,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56734,1,0.38382685,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68726,2,0.32437798,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
70807,1,0.26246285,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
68806,2,0.18083975,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63659,1,0.31416827,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
58353,1,0.38642207,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64230,1,0.21103181,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69833,1,0.5914763,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54224,2,0.26159978,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
55869,2,0.21439478,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63248,2,0.39983466,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51717,1,0.1339637,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
51230,0,0.2579365,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
57808,0,0.7705747,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
53141,2,0.24174164,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56984,0,0.43260708,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
58687,2,0.1820245,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
61301,1,0.26485932,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
69952,1,0.18177544,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
53927,2,0.3718156,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69384,2,0.47310597,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
63846,1,0.44895244,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
60661,0,0.383945,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
52003,2,0.24909532,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51630,1,0.12128413,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62668,1,0.4315494,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54939,2,0.39683843,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69351,1,0.5479505,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
54750,1,0.3599171,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
66107,2,0.44934818,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
69403,1,0.33506772,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63716,2,0.22302122,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
51601,1,0.37828776,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
64525,1,0.46397457,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62663,1,0.4186808,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62557,1,0.47644967,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
63595,0,0.39984742,At-Risk / Retention-Contact,Priority retention outreach + service recovery (already contacted us)
68367,2,0.42165074,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
59070,2,0.64372224,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
52147,2,0.15757132,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
56224,1,0.3813104,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
59453,1,0.32399118,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55515,2,0.1771557,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
54491,1,0.43246958,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
62653,1,0.30569077,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
56187,1,0.445122,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
55167,2,0.51811445,High-Usage / Handset-Gap,Device upgrade or contract-renewal incentive (heavy users on aging handsets)
68482,1,0.31520867,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
61525,1,0.57069933,Low-Engagement / Passive,"Re-engagement campaign: usage incentives, feature education, win-back offer"
